Mass Point,ee b-jet events,ee total events,mumu b-jet events,mumu total events,% b-jet ee,% b-jet mumu,Overall b-jet %
WR1200_N200,51,5804,88,8154,0.88,1.08,1.00
WR1200_N400,645,8463,1040,12028,7.62,8.65,8.22
WR1200_N600,1250,7578,1783,10356,16.50,17.22,16.91
WR1200_N800,1668,7783,2349,10757,21.43,21.84,21.67
WR1200_N1100,376,1594,592,2198,23.59,26.93,25.53
,,,,,,,
WR1600_N400,658,8172,922,10963,8.05,8.41,8.26
WR1600_N600,1500,9001,2171,12230,16.66,17.75,17.29
WR1600_N800,2084,9710,2898,13165,21.46,22.01,21.78
WR1600_N1200,2104,8386,2940,11568,25.09,25.41,25.28
WR1600_N1500,847,3186,1135,4247,26.59,26.72,26.66
,,,,,,,
WR2000_N400,517,7557,835,10479,6.84,7.97,7.50
WR2000_N800,1941,9088,2602,12091,21.36,21.52,21.45
WR2000_N1000,2527,10839,3521,14360,23.31,24.52,24.00
WR2000_N1400,2420,9240,3156,12204,26.19,25.86,26.00
WR2000_N1900,1292,4374,1670,6004,29.54,27.81,28.54
,,,,,,,
WR2400_N600,1673,9667,2347,13044,17.31,17.99,17.70
WR2400_N800,1986,9517,2997,12828,20.87,23.36,22.30
WR2400_N1200,2644,10700,3636,14209,24.71,25.59,25.21
WR2400_N1800,2990,10709,4000,14440,27.92,27.70,27.79
WR2400_N2300,1608,5344,2000,7170,30.09,27.89,28.83
,,,,,,,
WR2800_N600,1605,9664,2370,13390,16.61,17.70,17.24
WR2800_N1000,2646,10877,3650,14585,24.33,25.03,24.73
WR2800_N1400,3374,12932,4654,17246,26.09,26.99,26.60
WR2800_N2000,3273,11839,4475,15823,27.65,28.28,28.01
WR2800_N2700,2063,6911,2645,9385,29.85,28.18,28.89
,,,,,,,
WR3200_N800,2222,10485,3191,14132,21.19,22.58,21.99
WR3200_N1200,3056,11994,4070,15626,25.48,26.05,25.80
WR3200_N1600,3417,12406,4610,16185,27.54,28.48,28.08
WR3200_N2400,3762,13173,4889,17095,28.56,28.60,28.58
WR3200_N3000,2548,8195,3290,10725,31.09,30.68,30.86
