WR,N
600,100
600,200
600,400
600,500
800,100
800,200
800,400
800,600
800,700
1000,100
1000,200
1000,400
1000,600
1000,800
1000,900
1200,100
1200,200
1200,400
1200,600
1200,800
1200,1000
1200,1100
1400,100
1400,200
1400,400
1400,600
1400,800
1400,1000
1400,1200
1400,1300
1600,100
1600,200
1600,400
1600,600
1600,800
1600,1000
1600,1200
1600,1400
1600,1500
1800,100
1800,200
1800,400
1800,600
1800,800
1800,1000
1800,1200
1800,1400
1800,1600
1800,1700
2000,100
2000,200
2000,400
2000,600
2000,800
2000,1000
2000,1200
2000,1400
2000,1600
2000,1800
2000,1900
2200,100
2200,200
2200,400
2200,600
2200,800
2200,1000
2200,1200
2200,1400
2200,1600
2200,1800
2200,2000
2200,2100
2400,100
2400,200
2400,400
2400,600
2400,800
2400,1000
2400,1200
2400,1400
2400,1600
2400,1800
2400,2000
2400,2200
2400,2300
2600,100
2600,200
2600,400
2600,600
2600,800
2600,1000
2600,1200
2600,1400
2600,1600
2600,1800
2600,2000
2600,2200
2600,2400
2600,2500
2800,100
2800,200
2800,400
2800,600
2800,800
2800,1000
2800,1200
2800,1400
2800,1600
2800,1800
2800,2000
2800,2200
2800,2400
2800,2600
2800,2700
3000,100
3000,200
3000,400
3000,600
3000,800
3000,1000
3000,1200
3000,1400
3000,1600
3000,1800
3000,2000
3000,2200
3000,2400
3000,2600
3000,2800
3000,2900
3200,100
3200,200
3200,400
3200,600
3200,800
3200,1000
3200,1200
3200,1400
3200,1600
3200,1800
3200,2000
3200,2200
3200,2400
3200,2600
3200,2800
3200,3000
3200,3100
3400,100
3400,200
3400,400
3400,600
3400,800
3400,1000
3400,1200
3400,1400
3400,1600
3400,1800
3400,2000
3400,2200
3400,2400
3400,2600
3400,2800
3400,3000
3400,3200
3400,3300
